registered,registration_target,decision,reason,title,primary_artist,album,album_artist,genre,duration_sec,file_path_linux,file_path_windows,file_ext,file_size_bytes
1,0,include,tagged vocal/music candidate,トウメイパズル,綺良雪,紫盤 2024,,Pop,213,/mnt/d/yu28s/Music/Compilations/紫盤 2024/2-08 トウメイパズル.m4a,D:\yu28s\Music\Compilations\紫盤 2024\2-08 トウメイパズル.m4a,.m4a,7118408
1,0,include,tagged vocal/music candidate,青春フラジャイル(浅葉リオver),浅葉リオ,紫盤 2024,,Pop,228,/mnt/d/yu28s/Music/Compilations/紫盤 2024/2-09 青春フラジャイル(浅葉リオver).m4a,D:\yu28s\Music\Compilations\紫盤 2024\2-09 青春フラジャイル(浅葉リオver).m4a,.m4a,7517927
1,0,include,tagged vocal/music candidate,桜花千爛(浅葉リオver),浅葉リオ,紫盤 2024,,Pop,267,/mnt/d/yu28s/Music/Compilations/紫盤 2024/2-10 桜花千爛(浅葉リオver).m4a,D:\yu28s\Music\Compilations\紫盤 2024\2-10 桜花千爛(浅葉リオver).m4a,.m4a,8916766
1,0,include,tagged vocal/music candidate,散るぞ恋しき(橋本みゆきver),橋本みゆき,紫盤 2024,,Pop,307,/mnt/d/yu28s/Music/Compilations/紫盤 2024/2-11 散るぞ恋しき(橋本みゆきver).m4a,D:\yu28s\Music\Compilations\紫盤 2024\2-11 散るぞ恋しき(橋本みゆきver).m4a,.m4a,10009322
0,0,exclude,tag read error: ,,,,,,,/mnt/d/yu28s/Music/Downloads/4198300_0_1.flac,D:\yu28s\Music\Downloads\4198300_0_1.flac,.flac,31586378
1,0,include,tagged vocal/music candidate,ファイトソング,Eve,ファイトソング - Single,Eve,J-Pop,209,/mnt/d/yu28s/Music/Eve/ファイトソング - Single/01 ファイトソング.m4a,D:\yu28s\Music\Eve\ファイトソング - Single\01 ファイトソング.m4a,.m4a,7558349
1,0,include,tagged vocal/music candidate,BLUE desire,Faylan,BLUE desire - Single,Faylan,アニメ,241,/mnt/d/yu28s/Music/Faylan/BLUE desire - Single/01 BLUE desire.m4a,D:\yu28s\Music\Faylan\BLUE desire - Single\01 BLUE desire.m4a,.m4a,8705698
0,0,exclude,missing title tag,,,,,,215,/mnt/d/yu28s/Music/feng/2-03_せつなさのグラデイション_ハイレゾ.wav,D:\yu28s\Music\feng\2-03_せつなさのグラデイション_ハイレゾ.wav,.wav,123592676
0,0,exclude,missing title tag,,,,,,267,/mnt/d/yu28s/Music/feng/2-04_あかね色に染まる坂_ハイレゾ.wav,D:\yu28s\Music\feng\2-04_あかね色に染まる坂_ハイレゾ.wav,.wav,153615014
0,0,exclude,missing title tag,,,,,,251,/mnt/d/yu28s/Music/feng/2-05_星空へ架かる橋_ハイレゾ.wav,D:\yu28s\Music\feng\2-05_星空へ架かる橋_ハイレゾ.wav,.wav,144403742
0,0,exclude,missing title tag,,,,,,267,/mnt/d/yu28s/Music/feng/2-06_広がる夜空の下で_ハイレゾ.wav,D:\yu28s\Music\feng\2-06_広がる夜空の下で_ハイレゾ.wav,.wav,153746420
0,0,exclude,missing title tag,,,,,,212,/mnt/d/yu28s/Music/feng/2-07_Let’s GO☆ミ_ハイレゾ.wav,D:\yu28s\Music\feng\2-07_Let’s GO☆ミ_ハイレゾ.wav,.wav,122094518
0,0,exclude,missing title tag,,,,,,180,/mnt/d/yu28s/Music/feng/2-08_乙女至上主義_ハイレゾ.wav,D:\yu28s\Music\feng\2-08_乙女至上主義_ハイレゾ.wav,.wav,103762358
0,0,exclude,missing title tag,,,,,,240,/mnt/d/yu28s/Music/feng/2-09_4SEASONs_ハイレゾ.wav,D:\yu28s\Music\feng\2-09_4SEASONs_ハイレゾ.wav,.wav,138124388
0,0,exclude,missing title tag,,,,,,238,/mnt/d/yu28s/Music/feng/2-10_星空のいま_ハイレゾ.wav,D:\yu28s\Music\feng\2-10_星空のいま_ハイレゾ.wav,.wav,137281022
0,0,exclude,missing title tag,,,,,,244,/mnt/d/yu28s/Music/feng/3-01_マリンブルーに沿って_ハイレゾ.wav,D:\yu28s\Music\feng\3-01_マリンブルーに沿って_ハイレゾ.wav,.wav,140357570
0,0,exclude,missing title tag,,,,,,253,/mnt/d/yu28s/Music/feng/3-02_キスのひとつで_ハイレゾ.wav,D:\yu28s\Music\feng\3-02_キスのひとつで_ハイレゾ.wav,.wav,145864898
0,0,exclude,missing title tag,,,,,,287,/mnt/d/yu28s/Music/feng/3-03_冬に咲く華_ハイレゾ.wav,D:\yu28s\Music\feng\3-03_冬に咲く華_ハイレゾ.wav,.wav,165211772
0,0,exclude,missing title tag,,,,,,244,/mnt/d/yu28s/Music/feng/3-04_夜明けのベルが鳴る_ハイレゾ.wav,D:\yu28s\Music\feng\3-04_夜明けのベルが鳴る_ハイレゾ.wav,.wav,140342096
0,0,exclude,missing title tag,,,,,,219,/mnt/d/yu28s/Music/feng/3-05_ホントノトコロ_ハイレゾ.wav,D:\yu28s\Music\feng\3-05_ホントノトコロ_ハイレゾ.wav,.wav,125885354
0,0,exclude,missing title tag,,,,,,195,/mnt/d/yu28s/Music/feng/3-06_Because of_ハイレゾ.wav,D:\yu28s\Music\feng\3-06_Because of_ハイレゾ.wav,.wav,112305494
0,0,exclude,missing title tag,,,,,,252,/mnt/d/yu28s/Music/feng/3-07_片思いのメロディを_ハイレゾ.wav,D:\yu28s\Music\feng\3-07_片思いのメロディを_ハイレゾ.wav,.wav,144886502
0,0,exclude,missing title tag,,,,,,213,/mnt/d/yu28s/Music/feng/3-08_JUMPING TO DAYS!_ハイレゾ.wav,D:\yu28s\Music\feng\3-08_JUMPING TO DAYS!_ハイレゾ.wav,.wav,122471504
